epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.2953447028748666,0.8415936721112444,0.6248624862486248,0.9119170984455959
2,0.6235402823150223,0.30232344453893795,0.9152915291529153,0.9430051813471503
3,0.26831131008001835,0.1482369397221606,0.9570957095709571,0.9481865284974094
4,0.13560487696751378,0.1186047855359285,0.9757975797579758,0.9585492227979274
5,0.12758360519529832,0.09897839294389431,0.966996699669967,0.9637305699481865
6,0.097926841186087,0.09321260600413529,0.977997799779978,0.9585492227979274
7,0.07406375695704365,0.08208368820442283,0.9790979097909791,0.9637305699481865
8,0.0562456562311867,0.07892434727738326,0.9856985698569857,0.9689119170984456
9,0.059317232565534256,0.07627132277057501,0.9823982398239824,0.9689119170984456
10,0.043484692089874356,0.0904678785353127,0.9900990099009901,0.9585492227979274
11,0.055297586091510274,0.083500417018758,0.9845984598459846,0.9689119170984456
12,0.04497441292891015,0.08033387800811312,0.9856985698569857,0.9689119170984456
13,0.032879738508015705,0.08262644522253984,0.9900990099009901,0.9689119170984456
14,0.038432407185713974,0.07949650557554891,0.9867986798679867,0.9689119170984456
