epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.7768483171738142,0.33642177694039427,0.755404057199867,0.8893219017926735
2,0.3557215113754006,0.23123488686545096,0.8862653807781843,0.9204988308651598
3,0.26574747990364644,0.2257361469760578,0.914865314266711,0.9290724863600935
4,0.23379175325822782,0.20107907877069195,0.9218490189557699,0.9368667186282151
5,0.20440962857132858,0.19615486429950524,0.930495510475557,0.936087295401403
6,0.18104745062594005,0.20605982801870065,0.9381443298969072,0.93141075604053
7,0.1457807067515329,0.2273623709652093,0.9514466245427337,0.9329696024941543
8,0.14564557822057583,0.2292297510426332,0.9536082474226805,0.9423226812159002
9,0.09120053241148933,0.20782561657349785,0.9715663451945461,0.9469992205767732
10,0.06637724028856286,0.213398274702629,0.9808779514466246,0.9438815276695246
